Ticket_Key,Agentkey,IssueType,Vendor,Feedback,CPC,AWT (hrs),Good Feedback
18765,96,Feedback,ABC,Good,1,7.2,1
19151,96,Feedback,ABC,Good,1,1.5,1
19222,96,Feedback,ABC,Good,1,3.9,1
21541,96,Feedback,ABC,Good,1,9,1
22990,96,Feedback,ABC,Good,1,3.6,1
23722,96,Feedback,ABC,Good,1,0.2,1
24002,96,Feedback,ABC,Good,1,3.2,1
24681,96,Feedback,ABC,Good,1,0.9,1
26884,96,Feedback,ABC,Good,1,19.5,1
27580,96,Feedback,ABC,Good,1,12.5,1
27912,96,Feedback,ABC,Good,1,18.1,1
29412,96,Feedback,ABC,Good,1,9.5,1
29840,96,Feedback,ABC,Good,1,2.7,1
30045,96,Feedback,ABC,Good,1,3.4,1
32467,96,Feedback,ABC,Good,1,7.4,1
32485,96,Feedback,ABC,Good,1,1.7,1
32950,96,Feedback,ABC,Good,1,0.8,1
33195,96,Feedback,ABC,Good,1,22.3,1
33483,96,Feedback,ABC,Good,1,28.8,1
33492,96,Feedback,ABC,Good,1,2.6,1
33958,96,Feedback,ABC,Good,1,3.5,1
34574,96,Feedback,ABC,Good,1,17.5,1
35095,96,Feedback,ABC,Good,1,4.8,1
36389,96,Feedback,ABC,Good,1,1.8,1
37092,96,Feedback,ABC,Good,1,19.4,1
37098,96,Feedback,ABC,Good,1,10.7,1
37499,96,Feedback,ABC,Good,1,35.7,1
37703,96,Feedback,ABC,Good,1,35,1
38578,96,Feedback,ABC,Good,1,28.8,1
41312,96,Feedback,ABC,Good,1,0.2,1
42046,96,Feedback,ABC,Good,1,6.2,1
42243,96,Feedback,ABC,Good,1,15.4,1
42783,96,Feedback,ABC,Good,1,1.6,1
43176,96,Feedback,ABC,Good,1,1.1,1
43743,96,Feedback,ABC,Good,1,38.4,1
44793,96,Feedback,ABC,Good,1,25.1,1
46096,96,Feedback,ABC,Good,1,5.2,1
47874,96,Feedback,ABC,Good,1,2.6,1
48816,96,Feedback,ABC,Good,1,8.6,1
49736,96,Feedback,ABC,Good,1,31.2,1
50190,96,Feedback,ABC,Good,1,1,1
52483,96,Feedback,ABC,Good,1,3.8,1
53497,96,Feedback,ABC,Good,1,2.1,1
53706,96,Feedback,ABC,Good,1,1,1
53773,96,Feedback,ABC,Good,1,19,1
54051,96,Feedback,ABC,Good,1,4.9,1
54689,96,Feedback,ABC,Good,1,0.8,1
55053,96,Feedback,ABC,Good,1,2.2,1
55820,96,Feedback,ABC,Good,1,2.7,1
56016,96,Feedback,ABC,Good,1,1.7,1
56537,96,Feedback,ABC,Good,1,29.7,1
56750,96,Feedback,ABC,Good,1,21.6,1
57294,96,Feedback,ABC,Good,1,3,1
58857,96,Feedback,ABC,Good,1,6.6,1
59643,96,Feedback,ABC,Good,1,6.1,1
60133,96,Feedback,ABC,Good,1,2.7,1
60373,96,Feedback,ABC,Good,1,10.2,1
60734,96,Feedback,ABC,Good,1,1.7,1
61439,96,Feedback,ABC,Good,1,1,1
61632,96,Feedback,ABC,Good,1,5.1,1
62008,96,Feedback,ABC,Good,1,4,1
62014,96,Feedback,ABC,Good,1,0.2,1
62108,96,Feedback,ABC,Good,1,4.6,1
63628,96,Feedback,ABC,Good,1,13.6,1
63663,96,Feedback,ABC,Good,1,3.9,1
63731,96,Feedback,ABC,Good,1,3.4,1
63964,96,Feedback,ABC,Good,1,6.5,1
64098,96,Feedback,ABC,Good,1,6.9,1
64489,96,Feedback,ABC,Good,1,17.2,1
64738,96,Feedback,ABC,Good,1,0.6,1
64878,96,Feedback,ABC,Good,1,4.3,1
66832,96,Feedback,ABC,Good,1,23.3,1
67559,96,Feedback,ABC,Good,1,9.2,1
69422,96,Feedback,ABC,Good,1,18,1
69676,96,Feedback,ABC,Good,1,17.8,1
70382,96,Feedback,ABC,Good,1,0.3,1
70798,96,Feedback,ABC,Good,1,9.7,1
71102,96,Feedback,ABC,Good,1,29.9,1
71163,96,Feedback,ABC,Good,1,4,1
72822,96,Feedback,ABC,Good,1,3.9,1
72853,96,Feedback,ABC,Good,1,2.8,1
74055,96,Feedback,ABC,Good,1,2.6,1
74861,96,Feedback,ABC,Good,1,19.9,1
75224,96,Feedback,ABC,Good,1,23.6,1
76011,96,Feedback,ABC,Good,1,3.8,1
76108,96,Feedback,ABC,Good,1,0.7,1
76599,96,Feedback,ABC,Good,1,12.3,1
76921,96,Feedback,ABC,Good,1,22.9,1
77620,96,Feedback,ABC,Good,1,3.9,1
78138,96,Feedback,ABC,Good,1,1.8,1
78440,96,Feedback,ABC,Good,1,17.1,1
78956,96,Feedback,ABC,Good,1,0.7,1
80518,96,Feedback,ABC,Good,1,15.4,1
80949,96,Feedback,ABC,Good,1,12.3,1
81165,96,Feedback,ABC,Good,1,6.2,1
81721,96,Feedback,ABC,Good,1,0.8,1
81920,96,Feedback,ABC,Good,1,7.4,1
82774,96,Feedback,ABC,Good,1,14.6,1
83094,96,Feedback,ABC,Good,1,2.5,1
84910,96,Feedback,ABC,Good,1,5,1
85015,96,Feedback,ABC,Good,1,17.2,1
87306,96,Feedback,ABC,Good,1,10.4,1
87597,96,Feedback,ABC,Good,1,7.5,1
87628,96,Feedback,ABC,Good,1,5.5,1
87661,96,Feedback,ABC,Good,1,28.8,1
88236,96,Feedback,ABC,Good,1,36.3,1
88243,96,Feedback,ABC,Good,1,3.4,1
88502,96,Feedback,ABC,Good,1,0.3,1
89002,96,Feedback,ABC,Good,1,7.7,1
89322,96,Feedback,ABC,Good,1,8.1,1
89841,96,Feedback,ABC,Good,1,2.5,1
90125,96,Feedback,ABC,Good,1,25.6,1
90787,96,Feedback,ABC,Good,1,1.4,1
91761,96,Feedback,ABC,Good,1,0.4,1
92783,96,Feedback,ABC,Good,1,3.5,1
96437,96,Feedback,ABC,Good,1,3.7,1
96749,96,Feedback,ABC,Good,1,0.6,1
97154,96,Feedback,ABC,Good,1,8.9,1
98053,96,Feedback,ABC,Good,1,22.7,1
99337,96,Feedback,ABC,Good,1,2.8,1
99396,96,Feedback,ABC,Good,1,9.4,1
1718,79,Feedback,ABC,Good,1,7.9,1
3095,79,Feedback,ABC,Good,1,22.4,1
3209,79,Feedback,ABC,Good,1,2.1,1
3813,79,Feedback,ABC,Good,1,8,1
3825,79,Feedback,ABC,Good,1,0.5,1
4209,79,Feedback,ABC,Good,1,5.4,1
4229,79,Feedback,ABC,Good,1,17.8,1
4420,79,Feedback,ABC,Good,1,6.6,1
4700,79,Feedback,ABC,Good,1,3.5,1
5586,79,Feedback,ABC,Good,1,8.1,1
5693,79,Feedback,ABC,Good,1,2.7,1
5754,79,Feedback,ABC,Good,1,3.4,1
6605,79,Feedback,ABC,Good,1,2,1
7215,79,Feedback,ABC,Good,1,6.5,1
7472,79,Feedback,ABC,Good,1,13.6,1
7995,79,Feedback,ABC,Good,1,24.6,1
8623,79,Feedback,ABC,Good,1,7.4,1
8650,79,Feedback,ABC,Good,1,4.5,1
9995,79,Feedback,ABC,Good,1,2.8,1
10339,79,Feedback,ABC,Good,1,11.4,1
10455,79,Feedback,ABC,Good,1,3.9,1
10648,79,Feedback,ABC,Good,1,0.9,1
10872,79,Feedback,ABC,Good,1,1.9,1
12113,79,Feedback,ABC,Good,1,3.8,1
12585,79,Feedback,ABC,Good,1,1,1
13928,79,Feedback,ABC,Good,1,8.4,1
15255,79,Feedback,ABC,Good,1,1.4,1
15274,79,Feedback,ABC,Good,1,7,1
15278,79,Feedback,ABC,Good,1,3,1
15877,79,Feedback,ABC,Good,1,2.3,1
16621,79,Feedback,ABC,Good,1,2.2,1
17845,79,Feedback,ABC,Good,1,0.1,1
17886,79,Feedback,ABC,Good,1,29,1
18860,79,Feedback,ABC,Good,1,4.1,1
21547,79,Feedback,ABC,Good,1,6.4,1
21999,79,Feedback,ABC,Good,1,1.8,1
22763,79,Feedback,ABC,Good,1,14.7,1
22858,79,Feedback,ABC,Good,1,0.2,1
23100,79,Feedback,ABC,Good,1,3,1
23357,79,Feedback,ABC,Good,1,2,1
23713,79,Feedback,ABC,Good,1,0.3,1
24064,79,Feedback,ABC,Good,1,1.8,1
24566,79,Feedback,ABC,Good,1,0.6,1
24841,79,Feedback,ABC,Good,1,9.6,1
26430,79,Feedback,ABC,Good,1,2.3,1
26880,79,Feedback,ABC,Good,1,17.4,1
28581,79,Feedback,ABC,Good,1,1.2,1
29094,79,Feedback,ABC,Good,1,3.1,1
29304,79,Feedback,ABC,Good,1,0.3,1
31167,79,Feedback,ABC,Good,1,29.9,1
31713,79,Feedback,ABC,Good,1,0.8,1
32670,79,Feedback,ABC,Good,1,1.6,1
33074,79,Feedback,ABC,Good,1,2.3,1
33093,79,Feedback,ABC,Good,1,0.8,1
33657,79,Feedback,ABC,Good,1,29.1,1
33927,79,Feedback,ABC,Good,1,1.8,1
34718,79,Feedback,ABC,Good,1,2.1,1
35053,79,Feedback,ABC,Good,1,5.2,1
35699,79,Feedback,ABC,Good,1,2,1
36075,79,Feedback,ABC,Good,1,19.2,1
37564,79,Feedback,ABC,Good,1,25.4,1
37898,79,Feedback,ABC,Good,1,15.7,1
38493,79,Feedback,ABC,Good,1,3.8,1
39673,79,Feedback,ABC,Good,1,6.3,1
41593,79,Feedback,ABC,Good,1,5.4,1
42332,79,Feedback,ABC,Good,1,3.4,1
45022,79,Feedback,ABC,Good,1,3.3,1
46363,79,Feedback,ABC,Good,1,6.7,1
46372,79,Feedback,ABC,Good,1,4.8,1
46479,79,Feedback,ABC,Good,1,3.5,1
46998,79,Feedback,ABC,Good,1,1,1
48407,79,Feedback,ABC,Good,1,11.4,1
49572,79,Feedback,ABC,Good,1,9.9,1
50328,79,Feedback,ABC,Good,1,1.3,1
51478,79,Feedback,ABC,Good,1,3.8,1
51773,79,Feedback,ABC,Good,1,2,1
52196,79,Feedback,ABC,Good,1,9.1,1
52579,79,Feedback,ABC,Good,1,30.8,1
52632,79,Feedback,ABC,Good,1,0.3,1
53048,79,Feedback,ABC,Good,1,15.9,1
53079,79,Feedback,ABC,Good,1,16.8,1
53200,79,Feedback,ABC,Good,1,1.3,1
54215,79,Feedback,ABC,Good,1,4.3,1
54340,79,Feedback,ABC,Good,1,36,1
55777,79,Feedback,ABC,Good,1,2.1,1
56015,79,Feedback,ABC,Good,1,5.9,1
56024,79,Feedback,ABC,Good,1,2.7,1
56601,79,Feedback,ABC,Good,1,3.9,1
57529,79,Feedback,ABC,Good,1,1.4,1
58228,79,Feedback,ABC,Good,1,0.3,1
58831,79,Feedback,ABC,Good,1,4.7,1
59359,79,Feedback,ABC,Good,1,2,1
60037,79,Feedback,ABC,Good,1,5.7,1
61756,79,Feedback,ABC,Good,1,3.2,1
62928,79,Feedback,ABC,Good,1,2.3,1
63168,79,Feedback,ABC,Good,1,1.9,1
64884,79,Feedback,ABC,Good,1,8.9,1
65378,79,Feedback,ABC,Good,1,1.3,1
66124,79,Feedback,ABC,Good,1,0.3,1
67226,79,Feedback,ABC,Good,1,6.5,1
67644,79,Feedback,ABC,Good,1,2.7,1
69738,79,Feedback,ABC,Good,1,8.6,1
69846,79,Feedback,ABC,Good,1,22.7,1
70016,79,Feedback,ABC,Good,1,18.7,1
71386,79,Feedback,ABC,Good,1,1.8,1
72059,79,Feedback,ABC,Good,1,1.3,1
74731,79,Feedback,ABC,Good,1,8.2,1
75899,79,Feedback,ABC,Good,1,5.4,1
75969,79,Feedback,ABC,Good,1,18.5,1
78192,79,Feedback,ABC,Good,1,8.5,1
80332,79,Feedback,ABC,Good,1,0.2,1
82324,79,Feedback,ABC,Good,1,2.6,1
84043,79,Feedback,ABC,Good,1,3.7,1
84281,79,Feedback,ABC,Good,1,2.5,1
84370,79,Feedback,ABC,Good,1,10,1
85285,79,Feedback,ABC,Good,1,0.9,1
86162,79,Feedback,ABC,Good,1,5.9,1
86393,79,Feedback,ABC,Good,1,6,1
87319,79,Feedback,ABC,Good,1,18.6,1
88484,79,Feedback,ABC,Good,1,32.1,1
88900,79,Feedback,ABC,Good,1,18.3,1
89632,79,Feedback,ABC,Good,1,0.8,1
92706,79,Feedback,ABC,Good,1,2.7,1
92765,79,Feedback,ABC,Good,1,0.7,1
92933,79,Feedback,ABC,Good,1,7.5,1
93571,79,Feedback,ABC,Good,1,24.8,1
93598,79,Feedback,ABC,Good,1,3.2,1
93599,79,Feedback,ABC,Good,1,5,1
94146,79,Feedback,ABC,Good,1,6.1,1
94403,79,Feedback,ABC,Good,1,2.9,1
94673,79,Feedback,ABC,Good,1,3.8,1
94946,79,Feedback,ABC,Good,1,2.3,1
95332,79,Feedback,ABC,Good,1,38.3,1
95719,79,Feedback,ABC,Good,1,14.4,1
98839,79,Feedback,ABC,Good,1,2.7,1
99136,79,Feedback,ABC,Good,1,2.9,1
394,56,Feedback,ABC,Good,1,3,1
1466,56,Feedback,ABC,Good,1,24.9,1
3104,56,Feedback,ABC,Good,1,9.7,1
3414,56,Feedback,ABC,Good,1,1.9,1
3742,56,Feedback,ABC,Good,1,4,1
3834,56,Feedback,ABC,Good,1,3.4,1
3950,56,Feedback,ABC,Good,1,2.8,1
4917,56,Feedback,ABC,Good,1,8,1
4970,56,Feedback,ABC,Good,1,4.8,1
5970,56,Feedback,ABC,Good,1,0.2,1
8027,56,Feedback,ABC,Good,1,22.6,1
8651,56,Feedback,ABC,Good,1,7.4,1
9530,56,Feedback,ABC,Good,1,14.8,1
10314,56,Feedback,ABC,Good,1,2.9,1
11640,56,Feedback,ABC,Good,1,0.7,1
11725,56,Feedback,ABC,Good,1,4.2,1
12625,56,Feedback,ABC,Good,1,9.9,1
14538,56,Feedback,ABC,Good,1,8.5,1
15280,56,Feedback,ABC,Good,1,5.4,1
15499,56,Feedback,ABC,Good,1,5.2,1
16008,56,Feedback,ABC,Good,1,9.5,1
17405,56,Feedback,ABC,Good,1,3.3,1
18149,56,Feedback,ABC,Good,1,22.7,1
18945,56,Feedback,ABC,Good,1,3.6,1
20479,56,Feedback,ABC,Good,1,5.1,1
20483,56,Feedback,ABC,Good,1,29.9,1
21796,56,Feedback,ABC,Good,1,3.1,1
21834,56,Feedback,ABC,Good,1,3.3,1
22198,56,Feedback,ABC,Good,1,0.7,1
22250,56,Feedback,ABC,Good,1,17.5,1
25024,56,Feedback,ABC,Good,1,3.2,1
25417,56,Feedback,ABC,Good,1,3,1
25487,56,Feedback,ABC,Good,1,3.2,1
25642,56,Feedback,ABC,Good,1,10.9,1
26284,56,Feedback,ABC,Good,1,17,1
27301,56,Feedback,ABC,Good,1,3.3,1
27417,56,Feedback,ABC,Good,1,0.4,1
27868,56,Feedback,ABC,Good,1,9.1,1
28927,56,Feedback,ABC,Good,1,15.5,1
29520,56,Feedback,ABC,Good,1,3.3,1
30139,56,Feedback,ABC,Good,1,2.6,1
30352,56,Feedback,ABC,Good,1,5.7,1
31856,56,Feedback,ABC,Good,1,0.6,1
32408,56,Feedback,ABC,Good,1,27.2,1
32889,56,Feedback,ABC,Good,1,3.8,1
33858,56,Feedback,ABC,Good,1,2.5,1
33910,56,Feedback,ABC,Good,1,19.7,1
34097,56,Feedback,ABC,Good,1,18.3,1
34583,56,Feedback,ABC,Good,1,3.1,1
35065,56,Feedback,ABC,Good,1,3.3,1
35115,56,Feedback,ABC,Good,1,15.5,1
36419,56,Feedback,ABC,Good,1,7.1,1
36551,56,Feedback,ABC,Good,1,3.6,1
36942,56,Feedback,ABC,Good,1,10.3,1
38040,56,Feedback,ABC,Good,1,0.8,1
38347,56,Feedback,ABC,Good,1,10.2,1
38876,56,Feedback,ABC,Good,1,1,1
40294,56,Feedback,ABC,Good,1,3.2,1
41267,56,Feedback,ABC,Good,1,3.5,1
42203,56,Feedback,ABC,Good,1,13.7,1
42295,56,Feedback,ABC,Good,1,11.8,1
44020,56,Feedback,ABC,Good,1,3.9,1
44284,56,Feedback,ABC,Good,1,25,1
44833,56,Feedback,ABC,Good,1,20.2,1
45433,56,Feedback,ABC,Good,1,2.2,1
45446,56,Feedback,ABC,Good,1,29.5,1
45598,56,Feedback,ABC,Good,1,0.4,1
46560,56,Feedback,ABC,Good,1,1.8,1
48518,56,Feedback,ABC,Good,1,5.7,1
49501,56,Feedback,ABC,Good,1,4.3,1
51014,56,Feedback,ABC,Good,1,36.8,1
52557,56,Feedback,ABC,Good,1,12.4,1
52824,56,Feedback,ABC,Good,1,4.5,1
53235,56,Feedback,ABC,Good,1,3.1,1
54603,56,Feedback,ABC,Good,1,17,1
54850,56,Feedback,ABC,Good,1,0.8,1
55101,56,Feedback,ABC,Good,1,9.2,1
55333,56,Feedback,ABC,Good,1,5.7,1
55434,56,Feedback,ABC,Good,1,7.2,1
55455,56,Feedback,ABC,Good,1,0.7,1
55705,56,Feedback,ABC,Good,1,7,1
57514,56,Feedback,ABC,Good,1,0.5,1
57734,56,Feedback,ABC,Good,1,0,1
57805,56,Feedback,ABC,Good,1,8.3,1
57881,56,Feedback,ABC,Good,1,2.9,1
58848,56,Feedback,ABC,Good,1,17.3,1
59717,56,Feedback,ABC,Good,1,3.3,1
60215,56,Feedback,ABC,Good,1,9.6,1
60503,56,Feedback,ABC,Good,1,8.3,1
61102,56,Feedback,ABC,Good,1,11.8,1
62124,56,Feedback,ABC,Good,1,18.3,1
62305,56,Feedback,ABC,Good,1,13,1
62677,56,Feedback,ABC,Good,1,4.4,1
63396,56,Feedback,ABC,Good,1,9,1
63402,56,Feedback,ABC,Good,1,3.6,1
63512,56,Feedback,ABC,Good,1,7.7,1
63800,56,Feedback,ABC,Good,1,30,1
63902,56,Feedback,ABC,Good,1,2.8,1
65277,56,Feedback,ABC,Good,1,2.3,1
65770,56,Feedback,ABC,Good,1,7.6,1
65874,56,Feedback,ABC,Good,1,19.9,1
68158,56,Feedback,ABC,Good,1,12.4,1
68779,56,Feedback,ABC,Good,1,5.2,1
70200,56,Feedback,ABC,Good,1,3.1,1
71043,56,Feedback,ABC,Good,1,0.4,1
71793,56,Feedback,ABC,Good,1,2.3,1
72401,56,Feedback,ABC,Good,1,12.6,1
75755,56,Feedback,ABC,Good,1,5.8,1
75877,56,Feedback,ABC,Good,1,5.3,1
78015,56,Feedback,ABC,Good,1,8.3,1
78031,56,Feedback,ABC,Good,1,8.1,1
78045,56,Feedback,ABC,Good,1,1.8,1
78807,56,Feedback,ABC,Good,1,15.3,1
79330,56,Feedback,ABC,Good,1,5.8,1
79385,56,Feedback,ABC,Good,1,3.6,1
82788,56,Feedback,ABC,Good,1,4.1,1
83286,56,Feedback,ABC,Good,1,9.4,1
84119,56,Feedback,ABC,Good,1,2.1,1
84338,56,Feedback,ABC,Good,1,3.1,1
87038,56,Feedback,ABC,Good,1,1.2,1
87166,56,Feedback,ABC,Good,1,0.3,1
87679,56,Feedback,ABC,Good,1,2.7,1
89973,56,Feedback,ABC,Good,1,1.1,1
90002,56,Feedback,ABC,Good,1,12.8,1
90816,56,Feedback,ABC,Good,1,1.4,1
91577,56,Feedback,ABC,Good,1,1.9,1
93147,56,Feedback,ABC,Good,1,5.2,1
95072,56,Feedback,ABC,Good,1,6.1,1
95212,56,Feedback,ABC,Good,1,15.3,1
96974,56,Feedback,ABC,Good,1,3.4,1
